[Mon Feb 08 01:13:56.095121 2021] [php7:notice] [pid 27673] [client 192.168.1.162:39366] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:14:11.139525 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39368] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:14:11.139603 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39368] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:14:11.139779 2021] [php7:notice] [pid 27678] [client 192.168.1.162:39368] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:14:54.817697 2021] [php7:notice] [pid 27679] [client 192.168.1.162:39370] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:14:54.817795 2021] [php7:notice] [pid 27679] [client 192.168.1.162:39370] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:14:54.817991 2021] [php7:notice] [pid 27679] [client 192.168.1.162:39370] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:15:10.272433 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39376] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:15:10.272507 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39376] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:15:10.272679 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39376] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:15:38.130583 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39378] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:15:38.130663 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39378] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 14, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:15:38.130846 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39378] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 49, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:17:23.812162 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39384] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 16, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:17:23.812273 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39384] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 16, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:17:23.812456 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39384] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 51, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:19:02.422606 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39390] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 16, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:19:02.422689 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39390] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 16, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:19:02.422883 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39390] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 57, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:19:54.893450 2021] [php7:notice] [pid 27673] [client 192.168.1.162:39392] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 16, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:19:54.893532 2021] [php7:notice] [pid 27673] [client 192.168.1.162:39392] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 16, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:19:54.893725 2021] [php7:notice] [pid 27673] [client 192.168.1.162:39392] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 57, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:24:24.265345 2021] [php7:notice] [pid 27679] [client 192.168.1.162:39400] PHP Notice:  Undefined variable: is_array in /home/servers/www/srv.php on line 17, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:24:24.265475 2021] [php7:error] [pid 27679] [client 192.168.1.162:39400] PHP Fatal error:  Uncaught Error: Function name must be a string in /home/servers/www/srv.php:17\nStack trace:\n#0 {main}\n  thrown in /home/servers/www/srv.php on line 17, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:25:22.031342 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39406] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 64, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:25:39.295729 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39408] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 64, referer: http://vapor.cagstech.com/
